
Image Name                     PID Services                                    
Code.exe                     18576 N/A                                         
codex.exe                    25160 N/A                                         
conhost.exe                  25332 N/A                                         
OpenConsole.exe              25940 N/A                                         
pwsh.exe                     26060 N/A                                         
Code.exe                     25016 N/A                                         
mscopilot_proxy.exe           5692 N/A                                         
dllhost.exe                  20196 N/A                                         
dllhost.exe                  26304 N/A                                         
claude.exe                   10872 N/A                                         
conhost.exe                  18868 N/A                                         
conhost.exe                   5908 N/A                                         
powershell.exe               24380 N/A                                         
cmd.exe                      22428 N/A                                         
conhost.exe                  25824 N/A                                         
cmd.exe                      23668 N/A                                         
conhost.exe                  25648 N/A                                         
cmd.exe                      26532 N/A                                         
conhost.exe                  20556 N/A                                         
node.exe                     24996 N/A                                         
node.exe                     20860 N/A                                         
node.exe                     19096 N/A                                         
node.exe                     25688 N/A                                         
cmd.exe                      14064 N/A                                         
node.exe                     23624 N/A                                         
cmd.exe                      20380 N/A                                         
node.exe                     25508 N/A                                         
node.exe                     22364 N/A                                         
EXCEL.EXE                    25064 N/A                                         
aimgr.exe                    25672 N/A                                         
msedgewebview2.exe           24408 N/A                                         
msedgewebview2.exe           26568 N/A                                         
msedgewebview2.exe           21656 N/A                                         
msedgewebview2.exe           21036 N/A                                         
msedgewebview2.exe            6536 N/A                                         
msedgewebview2.exe           27544 N/A                                         
svchost.exe                  25780 gpsvc                                       
conhost.exe                  18484 N/A                                         
node.exe                      2976 N/A                                         
cmd.exe                      14324 N/A                                         
node.exe                     27332 N/A                                         
node.exe                     28028 N/A                                         
node.exe                     27308 N/A                                         
node.exe                      9704 N/A                                         
splwow64.exe                 27064 N/A                                         
svchost.exe                  24988 PrintWorkflowUserSvc_9f735                  
node_repl.exe                25276 N/A                                         
cmd.exe                       7620 N/A                                         
node.exe                     16732 N/A                                         
node.exe                     28088 N/A                                         
node_repl.exe                28364 N/A                                         
cmd.exe                      28068 N/A                                         
node.exe                     27228 N/A                                         
node.exe                     23120 N/A                                         
node_repl.exe                 7344 N/A                                         
cmd.exe                      22604 N/A                                         
node.exe                     12112 N/A                                         
node.exe                     24428 N/A                                         
node_repl.exe                28112 N/A                                         
cmd.exe                      25076 N/A                                         
git.exe                      26500 N/A                                         
git.exe                      27204 N/A                                         
node.exe                     19932 N/A                                         
git.exe                       9500 N/A                                         
git.exe                      21336 N/A                                         
git.exe                      26608 N/A                                         
git.exe                      26644 N/A                                         
node.exe                     27016 N/A                                         
git.exe                      25484 N/A                                         
git.exe                      22908 N/A                                         
chrome.exe                   21840 N/A                                         
svchost.exe                  23788 WerSvc                                      
pwsh.exe                     18280 N/A                                         
