"Name","Id","CurrentCpuPercent","TotalCpuSeconds","WorkingSetMB","PrivateMemoryMB","Threads","Handles","Path"
"node","17980","0","0.34","59.1","29.3","9","193","C:\Program Files\nodejs\node.exe"
"node","20860","0","0.23","59","27.9","9","193","C:\Program Files\nodejs\node.exe"
"node","18976","0","0.22","58.7","28.2","11","189","C:\Program Files\nodejs\node.exe"
"node","6032","0","0.39","58.7","27.8","9","189","C:\Program Files\nodejs\node.exe"
"node","21448","0","0.25","58.6","28.2","9","193","C:\Program Files\nodejs\node.exe"
"node","13528","0","0.2","58.3","28.1","9","193","C:\Program Files\nodejs\node.exe"
"node","20324","0","0.2","58.3","27.9","9","189","C:\Program Files\nodejs\node.exe"
"node","12112","0","0.08","57.5","23.4","9","198","C:\Program Files\nodejs\node.exe"
"node","27228","0","0.08","57.4","22.9","9","198","C:\Program Files\nodejs\node.exe"
"node","19932","0","0.03","57.2","22.9","9","202","C:\Program Files\nodejs\node.exe"
"node","16732","0","0.02","57.2","23","9","197","C:\Program Files\nodejs\node.exe"
"RuntimeBroker","9596","0","1.67","56.2","14.6","15","719","C:\Windows\System32\RuntimeBroker.exe"
"node","7836","0","0.09","54.3","23.6","9","197","C:\Program Files\nodejs\node.exe"
"node","24996","0","0.09","54.1","23.1","9","201","C:\Program Files\nodejs\node.exe"
"node","27308","0","0.11","53.9","23.3","8","170","C:\Program Files\nodejs\node.exe"
"node","21232","0","0.12","53.8","23.2","9","201","C:\Program Files\nodejs\node.exe"
"node","19200","0","0.06","53.7","23.4","9","201","C:\Program Files\nodejs\node.exe"
"node","10852","0","0.03","53.7","22.9","11","197","C:\Program Files\nodejs\node.exe"
"node","17996","0","0.06","53.7","23.3","9","201","C:\Program Files\nodejs\node.exe"
"node","21756","0","0.09","53.4","23.1","9","195","C:\Program Files\nodejs\node.exe"
"node","23244","0","0.09","53.3","23.2","9","197","C:\Program Files\nodejs\node.exe"
"backgroundTaskHost","11968","0","0.5","51.3","26","7","544","C:\WINDOWS\system32\backgroundTaskHost.exe"
"svchost","4224","","","50.4","22.7","11","736",""
"WmiPrvSE","23260","","","50.3","37.7","9","301",""
"CrossDeviceResume","7644","0","0.27","49.9","39","6","474","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe"
"msedgewebview2","11228","0","0.91","49.9","73.6","20","644","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe"
"OfficeClickToRun","4444","","","49.6","25.1","17","712",""
"msedgewebview2","27544","0","0.08","49.5","21.5","15","267","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe"
"Code","13844","0","2.19","48.8","14.4","18","343","C:\Program Files\Microsoft VS Code\Code.exe"
"sihost","4872","0","2.48","48.4","7.8","12","790","C:\WINDOWS\system32\sihost.exe"
"svchost","4208","","","46.4","40.6","18","388",""
"WmiPrvSE","16824","","","46.3","40.4","7","250",""
"codex","25160","0","6.98","46.1","23.8","35","365","c:\Users\JesusLovesMe\.vscode\extensions\openai.chatgpt-26.609.30741-win32-x64\bin\windows-x86_64\codex.exe"
"ShellHost","8544","0","0.16","46.1","37.7","7","446","C:\Windows\System32\ShellHost.exe"
"node","17044","0","0.55","45.7","28.4","9","191","C:\Program Files\nodejs\node.exe"
"node","13588","0","0.45","45.5","28.3","9","193","C:\Program Files\nodejs\node.exe"
"ApplicationFrameHost","7992","0","0.27","45","59.3","5","453","C:\WINDOWS\system32\ApplicationFrameHost.exe"
"node","19188","0","0.36","44.5","28.3","9","192","C:\Program Files\nodejs\node.exe"
"node","8188","0","0.05","43.2","23.2","9","200","C:\Program Files\nodejs\node.exe"
"node","16452","0","0.06","42.7","23.1","9","201","C:\Program Files\nodejs\node.exe"
"AppActions","10564","0","0.48","42.3","12.1","7","380","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe"
"node","18600","0","0.03","41.3","23","9","199","C:\Program Files\nodejs\node.exe"
"svchost","2472","","","41.2","52.8","25","362",""
"Codex","20248","0","3.25","40.2","15.4","22","388","C:\Program Files\WindowsApps\OpenAI.Codex_26.611.8604.0_x64__2p2nqsd0c76g0\app\Codex.exe"
"svchost","2372","0","0.73","39.9","8.6","4","509","C:\WINDOWS\system32\svchost.exe"
"msedgewebview2","21036","0","0.2","38.2","13.7","22","346","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe"
"msedgewebview2","11204","0","0.72","36.9","14.3","20","372","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe"
"RuntimeBroker","9260","0","0.47","36.3","6.4","8","388","C:\Windows\System32\RuntimeBroker.exe"
"chrome","16172","0","0.31","35.5","34.3","12","462","C:\Program Files\Google\Chrome\Application\chrome.exe"
"Registry","328","","","35.3","14.6","4","0",""
"svchost","1776","","","34.8","10.6","18","1317",""
"svchost","6408","","","32.5","10.2","11","520",""
"lsass","1636","","","32","11.7","15","2053",""
"Code","24848","0","0.02","32","10.4","7","242","C:\Program Files\Microsoft VS Code\Code.exe"
"ctfmon","12048","0","5.31","31.8","6.9","15","553",""
"claude","10936","0","0.03","30.5","9.5","7","203","C:\Program Files\WindowsApps\Claude_1.13576.0.0_x64__pzs8sxrjxfjjc\app\Claude.exe"
"WmiPrvSE","10568","","","30.3","17.5","15","358",""
"chrome","24192","0","0.06","29.7","15.5","14","213","C:\Program Files\Google\Chrome\Application\chrome.exe"
"RuntimeBroker","11620","0","0.3","29.4","4.9","3","361","C:\Windows\System32\RuntimeBroker.exe"
"Codex","16620","0","0.09","28.9","19.6","13","236","C:\Program Files\WindowsApps\OpenAI.Codex_26.611.8604.0_x64__2p2nqsd0c76g0\app\Codex.exe"
"splwow64","27064","0","0.25","27.9","6.1","7","288","C:\WINDOWS\splwow64.exe"
"svchost","4280","","","27.2","14.1","25","697",""
"svchost","8024","0","0.61","27.1","9","8","477","C:\WINDOWS\system32\svchost.exe"
"winlogon","1564","","","26.1","3.2","3","339",""
"svchost","3428","","","25.7","4","4","296",""
"WidgetService","9892","0","0.86","25.6","5.3","5","351","C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.19.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe"
"wslservice","4300","","","25.2","5.4","4","447",""
"aimgr","25672","0","0.28","25.1","5.2","6","318","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Office16\AI\aimgr.exe"
"svchost","8888","0","0.23","24.8","3.8","6","286","C:\WINDOWS\system32\svchost.exe"
"svchost","4148","","","24.5","14.4","8","346",""
"svchost","4356","","","24.2","4.8","8","427",""
"svchost","6648","","","23.8","5.2","5","498",""
"SearchIndexer","13380","","","23.7","25.5","10","719",""
"svchost","15964","","","23.5","4.2","5","245",""
"MpDefenderCoreService","4288","","","23.4","14.8","10","502",""
"svchost","7688","","","23.4","15.9","8","260",""
"svchost","9608","0","0.28","23.2","4","2","331","C:\WINDOWS\system32\svchost.exe"
"SecurityHealthService","1712","","","22.8","7.8","9","492",""
"svchost","6316","","","22.5","5.4","9","424",""
"svchost","3732","","","21.5","6.8","14","566",""
"postgres","5464","","","21.3","2.8","3","407",""
"chrome","14288","0","2.59","20.9","12.6","11","222","C:\Program Files\Google\Chrome\Application\chrome.exe"
"svchost","1900","","","20.7","11.1","14","1467",""
"taskhostw","8304","0","6.92","20.6","6.4","9","296","C:\WINDOWS\system32\taskhostw.exe"
"Codex","7776","0","0.38","20.5","13.6","11","181","C:\Program Files\WindowsApps\OpenAI.Codex_26.611.8604.0_x64__2p2nqsd0c76g0\app\Codex.exe"
"svchost","2772","","","20.2","16.4","9","472",""
"chrome","1896","0","0.66","19.9","9.7","11","218","C:\Program Files\Google\Chrome\Application\chrome.exe"
"svchost","4128","","","19.9","5.3","10","421",""
"svchost","2568","","","19.7","6","12","1145",""
"msedgewebview2","6536","0","0.08","19.5","9.3","8","171","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe"
"svchost","3824","","","19.5","13.4","15","495",""
"svchost","11884","","","18.7","3.7","6","339",""
"chrome","21840","0","0.14","18.5","9.2","9","150","C:\Program Files\Google\Chrome\Application\chrome.exe"
"spoolsv","3900","","","18.5","5.7","8","449",""
"msedgewebview2","10420","0","0.3","18.1","9.6","9","182","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe"
"svchost","2820","","","18","2.7","3","229",""
"services","1584","","","17.8","6.6","8","883",""
"svchost","3784","","","17.6","2.9","4","251",""
"svchost","24836","","","16.9","3.3","6","246",""
"svchost","2168","","","16.8","6.9","12","358",""
"cowork-svc","6740","","","16.7","26.1","11","264",""
"svchost","12380","","","16.7","2.4","5","217",""
"svchost","4276","","","15.9","3","5","276",""
"dllhost","20196","0","0.02","15.5","2","6","168","C:\WINDOWS\system32\DllHost.exe"
"svchost","24832","","","15.3","3.9","3","182",""
"mscopilot_proxy","5692","0","0.02","14.9","2.2","5","132","C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot_proxy.exe"
"svchost","7568","","","14.8","3.7","12","401",""
"svchost","2348","","","14.8","3.1","5","267",""
"svchost","17160","","","14.6","4.1","13","481",""
"svchost","2232","","","14.6","2.3","3","263",""
"NisSrv","7380","","","14.5","5.1","11","218",""
"svchost","24988","0","0.06","14.1","1.8","2","143","C:\WINDOWS\system32\svchost.exe"
"svchost","4796","","","14.1","3.2","7","250",""
"svchost","3276","","","13.9","2.9","7","301",""
"svchost","15452","","","13.8","3.2","7","244",""
"svchost","4244","","","13.8","3","6","236",""
"svchost","3408","","","13.8","3.9","6","326",""
"postgres","6000","","","13.7","2.8","2","364",""
"WMIRegistrationService","4388","","","13.6","2.9","2","266",""
"svchost","4364","","","13.6","3.1","6","391",""
"svchost","14808","","","13.6","2.6","2","193",""
"svchost","15648","","","13.6","3.1","8","229",""
"svchost","13648","0","0.03","13.2","1.8","3","145","C:\WINDOWS\system32\svchost.exe"
"svchost","2240","","","13.2","2.8","6","205",""
"OpenConsole","5296","0","0.06","13.1","2.7","6","212","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.24.11321.0_x64__8wekyb3d8bbwe\OpenConsole.exe"
"RuntimeBroker","11784","0","0.11","13.1","2.4","2","169","C:\Windows\System32\RuntimeBroker.exe"
"smartscreen","8056","0","0.05","12.8","2.8","3","173","C:\Windows\System32\smartscreen.exe"
"msedgewebview2","8300","0","0.09","12.7","2.9","8","174","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe"
"msedgewebview2","26568","0","0.02","12.4","2.8","8","169","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe"
"svchost","3556","","","12.4","3","6","491",""
"svchost","7896","","","12.3","3.5","11","283",""
"vmcompute","6948","","","12.3","2","2","165",""
"svchost","2080","","","12.3","4.1","13","380",""
"svchost","2224","","","12.3","3.3","5","254",""
"SecurityHealthSystray","7540","0","0.06","12.2","1.9","1","176","C:\Windows\System32\SecurityHealthSystray.exe"
"msedgewebview2","10664","0","0.14","12.2","2.9","8","176","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe"
"svchost","16200","","","12.2","3.3","9","211",""
"svchost","13084","","","12.2","2.3","4","207",""
"svchost","19816","","","11.8","2.3","8","196",""
"Codex","19984","0","0","11.7","2.5","6","197","C:\Program Files\WindowsApps\OpenAI.Codex_26.611.8604.0_x64__2p2nqsd0c76g0\app\Codex.exe"
"msedgewebview2","12980","0","4.8","11.7","244.3","20","1079","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe"
"OpenConsole","25940","0","0.06","11.3","2.3","5","151","c:\Program Files\Microsoft VS Code\f6cfa2ea24\resources\app\node_modules\node-pty\build\Release\conpty\OpenConsole.exe"
"dllhost","26304","0","0.02","11.2","2.3","4","178","C:\WINDOWS\SysWOW64\DllHost.exe"
"postgres","5924","","","11.1","2.8","2","366",""
"svchost","3416","","","11","2.6","6","231",""
"postgres","5936","","","10.8","2.8","2","363",""
"AggregatorHost","6216","","","10.8","3","1","149",""
"svchost","1948","","","10.7","2.9","5","321",""
"svchost","2136","","","10.4","2.2","3","186",""
"postgres","6008","","","10.2","3.3","2","366",""
"svchost","6060","","","10.2","2.7","8","246",""
"postgres","6016","","","10.1","3.3","2","366",""
"svchost","3012","","","10.1","2","3","183",""
"WUDFHost","6208","","","10.1","2.1","6","267",""
"svchost","3332","","","10.1","1.9","5","202",""
"svchost","3268","","","10.1","2.9","8","242",""
"svchost","3968","","","10.1","2.4","9","203",""
"svchost","2832","","","9.9","2.1","5","177",""
"svchost","2740","","","9.9","1.9","2","153",""
"svchost","5688","","","9.8","2.9","11","257",""
"conhost","18484","0","0.05","9.7","1.8","3","127","C:\WINDOWS\system32\conhost.exe"
"pet","22100","0","1.84","9.5","4.4","21","63","c:\Users\JesusLovesMe\.vscode\extensions\ms-python.vscode-python-envs-1.34.0-win32-x64\python-env-tools\bin\pet.exe"
"svchost","25780","","","9.5","2.1","7","179",""
"svchost","2180","0","0.06","9.5","2","3","137","C:\WINDOWS\system32\svchost.exe"
"chrome","14360","0","0.05","9.4","2.6","7","360","C:\Program Files\Google\Chrome\Application\chrome.exe"
"postgres","5844","","","9.4","2.5","3","362",""
"svchost","4192","","","9.4","2.8","5","279",""
"sqlwriter","4264","","","9.3","2","2","148",""
"Codex","20020","0","0","9.3","2.1","4","106","C:\Program Files\WindowsApps\OpenAI.Codex_26.611.8604.0_x64__2p2nqsd0c76g0\app\Codex.exe"
"csrss","1476","","","9.2","4.5","18","1436",""
"svchost","15108","","","9.2","1.9","6","169",""
"conhost","4844","","","9","1.7","4","142",""
"svchost","2300","","","9","1.9","6","185",""
"svchost","2456","","","9","5.4","5","150",""
"svchost","7112","","","9","1.8","4","162",""
"fontdrvhost","1816","","","9","3.9","5","43",""
"svchost","6756","","","8.9","1.7","2","132",""
"svchost","18588","","","8.7","1.7","3","131",""
"svchost","5148","","","8.7","1.8","1","157",""
"svchost","3768","","","8.5","1.6","2","123",""
"node_repl","23584","0","0","8.4","2.8","23","116","C:\Users\JesusLovesMe\AppData\Local\OpenAI\Codex\runtimes\cua_node\a89897d3d9baa117\bin\node_repl.exe"
"wininit","1468","","","8.4","1.5","1","166",""
"svchost","4160","","","8.4","1.8","2","171",""
